currency code,currency name
THC,HempCoin
THETA,Theta-Token
TIME,Time
TIX,Blocktix
TKN,TokenCard
TKR,Trackr
TKS,Tokes
TNB,Time-New-Bank
TNT,Tierion
TOA,ToaCoin
TRAC,OriginTrail
TRC,Terracoin
TRCT,Tracto
TRIBE,Tribe
TRIG,Triggers
TRST,Trustcoin
TRUE,TrueChain
TRUST,TrustPlus
TRX,Tronix
TUSD,TrueUSD
TX,TransferCoin
UBQ,Ubiq
UKG,UnikoinGold
ULA,Ulatech
UNB,UnbreakableCoin
UNI,Uniswap
UNITY,SuperNET
UNO,Unobtanium
UNY,Unity-Ingot
UP,UpToken
URO,Uro
USDT,Tether
UST,TerraUSD
UTK,UTrust
VEE,BLOCKv
VEN,VeChain
VERI,Veritaseum
VET,VeChain
VIA,Viacoin
VIB,Viberate
VIBE,Vibe
VIVO,VIVO
VOISE,Voise
VOX,Voxels
VPN,VPNCoin
VRC,Vericoin
VRM,Verium
VRS,Veros
VSL,vSlice
VTC,Vertcoin
VTR,vTorrent
WABI,WaBi
WAN,Wanchain
WAVES,Waves
WAX,Wax-Token
WBTC,Wrapped Bitcoin
WCT,Waves-Community
WDC,WorldCoin
WGO,WavesGo
WGR,Wagerr
WINGS,Wings
WPR,WePower
WTC,Walton
WTT,Giga-Watt-Token
XAS,Asch
XAUR,Xaurum
XBC,Bitcoin-Plus
XBY,XtraBYtes
XCN,Cryptonite
XCP,Counterparty
XDN,DigitalNote
XEL,Elastic
XEM,NEM
NEM,NEM
XHV,Haven-Protocol
XID,Sphere-Identity
XLM,Stellar
XMG,Magi
XMR,Monero
XMT,Metal
XMY,Myriadcoin
XPM,Primecoin
XRL,Rialto
XRP,Ripple
XSPEC,Spectrecoin
XST,Stealthcoin
XTZ,Tezos
XUC,Exchange-Union
XVC,Vcash
XVG,Verge
XWC,WhiteCoin
XZC,ZCoin
XZR,ZrCoin
YEE,Yee
YOYOW,YOYOW
ZCC,ZcCoin
ZCL,Zclassic
ZCO,Zebi
ZEC,Zcash
ZEN,ZenCash
ZET,Zetacoin
ZIL,Zilliqa
ZLA,Zilla
ZRX,0x
